id,label,kind,layer,ideology,magnitude,ein,source_url,notes,logo,country,slices,n_slices
hub_leni_villag_mez_reeves,Leni Villagómez Reeves,person,party,,3,,https://www.hatueyproject.org/,Interlock hub — cited in 3 AFGJ-project people's bios,,,afgj-interlock,1
hub_massachusetts_bail,Massachusetts Bail Fund,org,party,,2,,https://worldpeacefoundation.org/blog/interview-with-michael-cox-solidarity-is-the-bedrock-of-advancing-lgbtq-rights-in-prison/|https://www.justice.gov/usao-wdok/pr/executive-director-black-lives-matter-okc-charged-wire-fraud-and-money-laundering,Interlock hub — cited in 2 AFGJ-project people's bios,,,afgj-interlock,1
hub_military_families_speak_out,Military Families Speak Out,org,party,,2,,https://findingaids.library.nyu.edu/tamwag/tam_715/|https://www.veteransforpeace.org/files/6313/4091/4233/newsletter_summer2012.pdf,Interlock hub — cited in 2 AFGJ-project people's bios,,,afgj-interlock,1
hub_mott_haven_port_morris_community_land_st,Mott Haven-Port Morris Community Land Stewards,org,party,,3,,https://www.southbronxunite.org/our-board|https://www.southbronxunite.org/our-board?locale=es,Interlock hub — cited in 3 AFGJ-project people's bios,,,afgj-interlock,1
hub_movement_netlab,Movement NetLab,org,party,,3,,https://adastra.management/team|https://commonslibrary.org/the-movement-compass-and-worksheet/|https://worldfellowship.org/event/understanding-antisemitism-and-its-instrumentalization-through-a-power-analysis-lens-tamara-shapiro-organizer/,Interlock hub — cited in 3 AFGJ-project people's bios,,,afgj-interlock,1
hub_occupy_sandy,Occupy Sandy,org,party,,4,,https://www.nateforcongress.com/about-nate-kleinman|https://www.bustle.com/p/what-is-the-march-for-racial-justice-its-mission-is-worthy-of-your-attention-2454473|https://www.influencewatch.org/non-profit/movement-netlab/|https://worldfellowship.org/event/understanding-antisemitism-and-its-instrumentalization-through-a-power-analysis-lens-tamara-shapiro-organizer/,Interlock hub — cited in 4 AFGJ-project people's bios,,,afgj-interlock,1
hub_occupy_wall_street,Occupy Wall Street,org,party,,3,,https://www.influencewatch.org/organization/interoccupy/|https://www.nateforcongress.com/about-nate-kleinman|https://www.influencewatch.org/non-profit/movement-netlab/,Interlock hub — cited in 3 AFGJ-project people's bios,,,afgj-interlock,1
hub_opposed_to_militarism_draft,Committee Opposed to Militarism & the Draft,org,party,,3,,https://www.nnomy.org/about-us/steering-committee|https://www.prcsd.org/who-we-are/,"Interlock hub — named in bios of 3 people (Gary Ghirardi, Oren Robinson, Rick Jahnkow) via prcsd.org and nnomy.org",,,afgj-interlock,1
hub_revolutionary_communist_party_usa,"Revolutionary Communist Party, USA",org,party,ml,2,,https://revcom.us/en/quick/472en.php|https://revcom.us/movement-for-revolution/stop-mass-incarceration/stop-mass-incarceration-carl-dix.html,Interlock hub — RCP-USA founding member Carl Dix co-initiated Refuse Fascism; RCP-USA supporters Sunsara Taylor & Debra Sweet co-founded World Can't Wait (both AFGJ-network projects),,,afgj-interlock,1
hub_talib_kweli,Talib Kweli,person,party,,2,,https://www.berklee.edu/people/tef-poe|https://www.youthvsapocalypse.org/our-board,Interlock hub — cited in 2 AFGJ-project people's bios,,,afgj-interlock,1
hub_trans_justice_funding,Trans Justice Funding Project,org,party,,2,,https://www.tucsonspotlight.org/collective-builds-community/,Interlock hub — cited in 2 AFGJ-project people's bios,,,afgj-interlock,1
hub_will_kohr,Will Kohr,person,party,,3,,https://www.hatueyproject.org/,Interlock hub — cited in 3 AFGJ-project people's bios,,,afgj-interlock,1
hub_women_in_black,Women in Black,org,party,,2,,https://www.bates.edu/news/2004/10/06/feminist-peace-activists-working-in-israel-offer-a-pair-of-lectures/|https://afsc.org/sites/default/files/documents/Profiles%20of%20Peace%20Low%20Resolution.pdf,Interlock hub — cited in 2 AFGJ-project people's bios,,,afgj-interlock,1
hub_women_s_march,Women’s March,org,party,,3,,https://adastra.management/team|https://www.brownmanrunning.com/|https://sites.middlebury.edu/middblogs/2019/09/26/sign-up-for-one-on-one-chats-with-alumni-at-the-global-health-field-guide/,Interlock hub — cited in 3 AFGJ-project people's bios,,,afgj-interlock,1
icap,ICAP,org,state,state,,,https://www.radiohc.cu/en/the-hatuey-project-of-the-united-states-reaffirms-its-solidarity-with-cuba/ | https://www.cubaheadlines.com/articles/338317,"Cuban Institute for Friendship w/ Peoples; Pres. Fernando Gonzalez Llort || foreign_state_entity; report §IV, VII, VIII. HUB — central node of the entire Cuban influence network; organizing hub facing the NNOC 501(c)(3) coalition; run by con",,,hatuey|rubio-cuba,2
ipa,International Peoples' Assembly,concept,party,,,,https://en.wikipedia.org/wiki/International_Peoples%27_Assembly,Founded Caracas Feb 2019; Tricontinental/People's Forum-anchored convening network,,Venezuela,latam-solidarity,1
ips,Institute for Policy Studies,org,veneer,,,52-0788947,https://www.ips-dc.org/,US left think tank; staff participated in RLS-NYC convenings,,US,rls-germany|singham-spine,2
iran,Islamic Republic of Iran (state),concept,state,,6,,,Iranian state hub node for generalized travel/access claims || Iran — foreign-state tie hub,,Iran,iran-network|singham-spine,2
iran_foreign_ministry,Iranian Ministry of Foreign Affairs,org,state,state,,,https://www.codepink.org/codepink_peace_delegation_meeting_with_the_mohammad_javad_zarif,Hosted CODEPINK delegation meetings in 2008 and 2019,,Iran,iran-network,1
iranian_red_crescent,Iranian Red Crescent Society,org,state,state,,,https://www.codepink.org/2_us_citizens_participate_in_iranian_peace_boat_to_stop_saudi_attacks_on_yemen,Sponsored 2015 peace-boat voyage to protest Saudi strikes on Yemen,,Iran,iran-network,1
irgc,Islamic Revolutionary Guard Corps (IRGC),org,state,state,,,https://home.treasury.gov/news/press-releases/sm611,IRGC-Qods Force found by OFAC to have used New Horizon conferences for recruitment/intel collection,,Iran,iran-network,1
irgens_moller,Kirsten Irgens-Moller,person,money,,18,,https://www.sourcewatch.org/index.php/Kirsten_Moller,"Danish-born Global Exchange co-founder/ED (1988-2011), later Secretary. Only compensated Benjamin Fund officer (Secretary, $10K/yr FY2006-2013); lived at Benjamin/Danaher's SF address. IRS flagged uncorrected self-dealing (IRC 4941) FY2011-2013 for her dual role.",,,iran-network,1
jacobin,Jacobin,org,veneer,demsoc,,,https://rosalux.nyc/new-poll-democratic-socialism-is-now-mainstream/|https://jacobin.com,"Left media, founded by Sunkara; co-sponsored RLS-NYC events; co-commissioned Nov 2025 poll; editorially intertwined with DSA || media_llc; report §I-III. 2026 article quoted approvingly on Cuba's role in ""decolonizing"" Marxist thought — identify exact piece.",,US,rls-germany|rubio-cuba,2
janequine,Olivia Goncalves Janequine,person,party,,5,,https://projects.propublica.org/nonprofits/organizations/824975378,Former Board Chair/Director of Justice and Education Fund (JEF) per 2018-2019 IRS Form 990 filings (not Executive Director as previously listed).,,,singham-spine,1
jef,Justice and Education Fund (JEF),org,money,,18,82-4975378,https://projects.propublica.org/nonprofits/organizations/824975378,"Singham/PSF downstream grantmaking vehicle. Parallel-funds AoJ's grantees CODEPINK ($360,591, 2021-2022) and AFGJ ($10,000, 2022), independent of AoJ's own grant flow. || Singham's primary US funding vehicle; >$20M into the network",,,iran-network|singham-spine,2
jonathan_raggett,Jonathan 'Jonny' Raggett,person,money,,16,,https://projects.propublica.org/nonprofits/organizations/841618483,"Secretary, Arc of Justice / Benjamin Fund, 2019-present (990-PF). Maya Danaher's partner. VP Strategic Partnerships, Via Transportation.",,,iran-network,1
jordan,James Patrick Jordan,person,veneer,,,,https://afgj.org/category/james-jordan,AFGJ National Co-Coordinator / current President,,US,latam-solidarity,1
jvp,Jewish Voice for Peace (JVP),org,context,,,,https://www.adl.org/resources/backgrounder/jewish-voice-peace-jvp,Not present in singham-spine nodes/edges prior to this extraction. Flagged in the separate 'Revolutionary Network in America' NCRI-adjacent synthesis (/Users/xero/xero/reports/ncri-revolutionary-network/synthesis/final-synthesis-report.md) as a bridge organization; its Rabbinical Council has a documented individual-level Iran contact (see 'stein' node).,,,iran-network,1
kas,Konrad Adenauer Stiftung Inc (KAS),org,money,,,81-4628400,https://www.kas.de/en/web/usa,CDU-affiliated; ~$882K FY2024; transatlantic relations,,Germany,rls-germany,1
kaufman,Chuck Kaufman,person,veneer,,,,https://afgj.org/chuck-kaufman-presente,AFGJ + ANSWER co-founder (d. Dec 28 2021); coordinated BOTH Nicaragua Network & Venezuela Solidarity Network,,US,latam-solidarity,1
khalek,Rania Abdul Khalek,person,party,,5,,https://x.com/RaniaKhalek,"Chief Correspondent / host at BreakThrough News (not a co-founder — PSL's Brian Becker and Eugene Puryear are the outlet's co-founders); outlet described as 'spearheaded by' Khalek in pressing Uyghur genocide denial, per New Lines Magazine investigation.",,,singham-spine,1
kleiner,Franziska Kleiner,person,party,,4,,https://www.eulenspiegel.com/autoren/autor/4-franziska-kleiner.html,Executive Director; Involved in genocide denial activities.,,,singham-spine,1
kovalik,Dan Kovalik,person,veneer,,,,https://www.answercoalition.org/afgj_s_chuck_kaufman_takes_on_imperialist_myths_in,Solidarity lawyer/author; photo credit on AFGJ Ortega piece,,US,latam-solidarity,1
kramer,Marian Kramer,person,party,,5,,https://voicesfromthegrassroots.org/kramer-baker-marian/,Co-founder; Member of foreign influence network.,,,singham-spine,1
krouth,Kristine Teresa Krouth,person,party,,4,,https://projects.propublica.org/nonprofits/organizations/834705654,"Former Administrator, 'Office of Roy Singham,' ThoughtWorks (per public employment-history record; role listed alongside separate 'Administrator, Thoughtworks' entry); now President/Director of Peoples Welfare Association (PWA), a Madison WI 501(c)(4) that received $14.9M in 2022 from People's Support Foundation (PSF), the Singham-network conduit accused of channeling concealed international grants through PWA. 'Potential unregistered foreign agent' is inferential from the broader network's ongoing DOJ/FARA scrutiny, not documented specifically against Krouth.",,,singham-spine,1
kuang,Savannah Kuang,person,veneer,,,,https://www.persuasion.community/p/the-democratic-socialists-of-america,DSA; sole individual claimed accredited to 2024 VZ election (single opinion source),,US,latam-solidarity,1
lariva,Gloria La Riva,person,state,,1,,https://www.hatueyproject.org/|https://en.wikipedia.org/wiki/Gloria_La_Riva,"Gloria La Riva, Coordinator, The Hatuey Project || PSL founder; 2016+2020 pres candidate; Hatuey coordinator || Co-founder; Involved in genocide denial activities.",,,afgj-interlock|hatuey|singham-spine,3
leila_zand,Leila Zand,person,context,,,,https://www.codepink.org/leila_zand,CODEPINK 'Director of Citizen Diplomacy with Iran' (advisory board + staff); Iranian-American Track II diplomacy specialist. Coordinated Fellowship of Reconciliation's 14-person Iran delegation concurrent with CODEPINK's Nov 2008 trip; operational link arranging meetings with Iranian Foreign Ministry and parliamentarians across the 2008 and 2019 delegations. Not previously a node in singham-spine. Source also in local file /Users/xero/xero/research/people/codepink-leadership.yaml.,,,iran-network,1
liebich,Stefan Liebich,person,money,,3,,https://en.wikipedia.org/wiki/Stefan_Liebich,"ED RLS-NYC (2023+); Die Linke Bundestag 2009-2021, foreign-affairs group chair; wrote '100 Days of Mayor Mamdani'",,,rls-germany,1
lowengard,Elizabeth Lowengard,person,party,,5,,https://www.guidestar.org/profile/94-3382208,"Treasurer of Progress Unity Fund (2015-2024), the Singham-network fiscal sponsor.",,,singham-spine,1
luvela,Smangele Luvela,person,party,,4,,https://sadc-gmi.org/ms-smangele-luvela/,Executive Director; Member of foreign influence network.,,,singham-spine,1
ma,"Simon Ma, MD, MPH",person,state,,1,,https://www.hatueyproject.org/,"Simon Ma, MD, MPH, Family Medicine || Kaiser",,,afgj-interlock|hatuey,2
maduro,Nicolás Maduro,person,state,,,,https://en.wikipedia.org/wiki/Nicol%C3%A1s_Maduro,President of Venezuela (PSUV); state patron of the solidarity events,,Venezuela,latam-solidarity,1
marsh,"Nadia Marsh, MD",person,state,,1,,https://www.alicewalkersgarden.com/home/alice-walkers-garden-home-page-2022/,Cuba needs massive help to recover! The ANSWER Coalition and the Hatuey Project appeal to you to help Cuba in their time of need. || Real 35-yr internist (UNM) AND 'member of ANSWER' per Hatuey's own copy,,,afgj-interlock|hatuey,2
maura,Eduardo Maura,person,party,,2,,https://keywiki.org/Rosa_Luxemburg_Stiftung,Podemos MP (Spain); member of the Mar 2018 CPC-summit delegation,,Spain,rls-germany,1
mcalevey,Jane McAlevey,person,veneer,,1,,https://www.rosalux.de/en/o4p,Labor organizer; designed the Organizing for Power curriculum funded by RLS and coordinated by Earle,,,rls-germany,1
mccarthy,Bobbette McCarthy,person,party,,3,,https://www.linkedin.com/in/bobbette-mccarthy-0b8a54a8/,Co-founder; Member of foreign influence network.,,,singham-spine,1
mfernandez,Mariana Fernandez,person,money,,1,,https://rosalux.nyc/cuba-is-being-strangled/,"Staff/Program Manager, RLS-NYC; authored 'Cuba Is Being Strangled' (RLS-NYC, published Mar 27, 2026), a piece on the U.S. blockade of Cuba",,,rls-germany,1
minsap,MINSAP (Cuban Health Ministry),org,state,state,,,,Aldo Grandal; C.A. Martinez Blanco,,,hatuey,1
moseley,Saidi Moseley,person,party,,3,,https://peoplesforum.org/about/staff/,Executive Director; Member of foreign influence network.,,,singham-spine,1
ncri_report,Following the Benjamins: How a $48 Million Foundation Operated an Iran-Aligned Influence Network Outside State Oversight in Florida,concept,context,,,,https://networkcontagion.us/reports/following-the-benjamins-how-a-48-million-foundation-operated-an-iran-aligned-influence-network-outside-state-oversight-in-florida/,"NCRI, May 2026, 34pp/135fn. Anchor report for the Arc of Justice (fka The Benjamin Fund) / Medea Benjamin network. Documents: New Horizon 2014 (OFAC-designated IRGC-Qods Force recruitment platform), Feb 2019 28-person CODEPINK Tehran delegation (Press TV/HispanTV stops, 90-min FM Zarif meeting, Fars News presser), 61-call Press TV CDR contact history (2nd-highest in NCRI's Hidden Switchboard dataset), CODEPINK/AFGJ-Samidoun/NIAC fiscal-sponsorship opacity, Cuba/ICAP operations. Caveat: several local drafts (article-v1 through v4 in ncri-tehran-tampa/articles/) mistakenly link this title to the PDF for a DIFFERENT, earlier NCRI report ('From Tehran to Tampa,' Apr 2026, 36pp) — the URL above is the corrected one used in article-v5-annotated.md and confirmed in the internal QA pass (qa-10-assessment-and-footnotes.md).",,,iran-network,1
new_horizon,New Horizon Organization,org,state,state,,,https://home.treasury.gov/news/press-releases/sm611,OFAC-designated Feb 13 2019 (EO 13224) as IRGC-QF recruitment/intel platform; conference host in Tehran,,Iran,iran-network,1
niac,National Iranian American Council (NIAC),org,context,,,,https://www.cotton.senate.gov/news/press-releases/cotton-cruz-braun-urge-doj-to-investigate-niac-for-potential-fara-violations,"US-based Iranian-American advocacy org; subject of Jan 2020 Senate FARA referral (Cotton/Cruz/Braun); Arc of Justice grantee ($10K FY2015, $10K FY2016 -- funding relationship omitted from edges per relation-type restrictions)",,,iran-network,1
nicanet,Nicaragua Network,org,party,,,,https://afgj.org/programs/nicaragua-network,Founding project of AFGJ (1979; dissolved into AFGJ 1998); now AFGJ Nicaragua program,,US,latam-solidarity,1
nlg,National Lawyers Guild,org,veneer,,37.7,,https://nlginternational.org/|https://www.nlg.org/,Sent 5 election observers to VZ Jul 2024 || us_501c3_active; report §VII. NNOC member (formal coalition member; roster-verified),nlg.png,US,latam-solidarity|rubio-cuba,2
nmeyer,Neal Meyer,person,money,,2,,https://keywiki.org/Neal_Meyer,Assistant Office Manager RLS-NYC (in 990-PF) + DSA Bread & Roses lead organizer + NYC-DSA treasurer 2016-2018,,,rls-germany,1
nunez,Marlon Matthew Nunez,person,veneer,,,,https://afgj.org/communique-august-2-2024-alliance-for-global-justice-delegation-demands-respect-for-venezuelas-democracy-in-light-of-july-28-elections,DSA International Committee / Venezuela Solidarity Network; 2024 VZ delegation,,US,latam-solidarity,1
o4p,Organizing for Power (O4P),project,money,,,,https://www.rosalux.de/en/o4p,"RLS global training program (not a separate legal entity); 40,000+ organizers / 1,800+ orgs / 115 countries since 2019; run by Earle",,,rls-germany,1
ortega,Daniel Ortega,person,state,,,,https://en.wikipedia.org/wiki/Daniel_Ortega,President of Nicaragua; FSLN,,Nicaragua,latam-solidarity,1
p_411_collective,411 Collective,project,veneer,,,,https://www.411collective.com/,Art · Anti-capitalist; pluralist,,,afgj-projects,1
p_action_bail_fund,Action Bail Fund,project,party,,,,https://afgj.salsalabs.org/actionbailfund/index.html,Bail · Left-wing (general) · antifa:YES · foreign-support:YES,,,afgj-projects,1
p_adastra,AdAstra,project,party,,,,https://adastra.management/about,Administrative · Left-wing (general) · antifa:YES,,,afgj-interlock|afgj-projects,2
p_african_awareness_association,African Awareness Association,project,state,,,,https://web.archive.org/web/20250118162817/https://www.aaa-cubatours.com/,Travel · Communist · foreign-support:YES,,,afgj-projects,1
p_alianza_ind_gena_sin_fronteras_indigen,Alianza Indígena Sin Fronteras / Indigenous Alliance Without Borders,project,state,,,,https://ushrnetwork.org/news/120/100/Indigenous-Alliance-Without-Borders-Releases-Handbook-on-Indigenous-Peoples-Border-Crossing-Rights,Immigration · foreign-support:YES,,,afgj-interlock|afgj-projects,2
p_amigos_de_la_playa,Amigos de la Playa,project,veneer,,,,https://www.facebook.com/AmigosDeLaPlayaOmetepe#,Environmental,,,afgj-projects,1
p_arizona_educators_united,Arizona Educators United,project,veneer,,,,https://psuaaup.net/blog/entry/inspired-by-west-virginia-teachers-spread-red-for-ed-movement-across-arizona,Education · Left-wing (labor),,,afgj-projects,1
p_arizona_palestine_solidarity_alliance,Arizona Palestine Solidarity Alliance,project,state,,,,https://www.arizonapalestine.org/about.html,Collective · Anti-Israel · foreign-support:YES,,,afgj-interlock|afgj-projects,2
p_asotrecol,ASOTRECOL,project,state,,,,https://www.dol.gov/newsroom/releases/ilab/ilab20120824,Union · Labor rights · foreign-support:YES,,,afgj-projects,1
p_assata_s_daughters,Assata’s Daughters,project,party,,,,https://www.assatasdaughters.org/homie|https://www.assatasdaughters.org/,Training · antifa:YES || us_501c3_active; report §V-VI. One-hop interlock only: Assata's Daughters is a fiscally-sponsored project of the Alliance for Global Justice (AFGJ) (af,,,afgj-interlock|afgj-projects|rubio-cuba,3
p_az_jobs_with_justice,AZ Jobs with Justice,project,veneer,,,,https://www.jwj.org/,Labor union-aligned coalition · Left-of-center,,,afgj-projects,1
p_beef_relief,Beef Relief,project,veneer,,,,http://beefrelief.org/,Food Bank · Non-partisan,,,afgj-projects,1
p_black_and_pink_ma,Black and Pink MA,project,veneer,,,,https://www.influencewatch.org/non-profit/black-and-pink/,Activism · Left-wing (social justice),,,afgj-interlock|afgj-projects,2
p_black_lives_matter_oklahoma_city,Black Lives Matter-Oklahoma City,project,party,,,,https://www.blmokc.com/,Activism · Left-wing (racial justice) · antifa:MAYBE,,,afgj-interlock|afgj-projects,2
p_black_lives_matter_tucson,Black Lives Matter Tucson,project,party,,,,,Activism · Left-wing (racial justice) · antifa:MAYBE,,,afgj-projects,1
p_black_movement_law_project,Black Movement Law Project,project,veneer,,,,https://www.influencewatch.org/organization/black-movement-law-project/,Legal,,,afgj-interlock|afgj-projects,2
p_black_trans_media,Black Trans Media,project,veneer,,,,https://www.influencewatch.org/non-profit/black-trans-media/,Art · Left-wing (identity politics),,,afgj-projects,1
p_black_trans_travel_fund,Black Trans Travel Fund,project,veneer,,,,https://www.blacktranstravelfund.com/,Travel · Left-wing (identity politics),,,afgj-interlock|afgj-projects,2
p_bukit_bail_fund_of_pittsburgh,Bukit Bail Fund of Pittsburgh,project,party,,,,,Bail · Left-wing (criminal justice) · antifa:MAYBE,,,afgj-projects,1
p_bv_solidarity_project,BV Solidarity Project,project,state,,,,,Activism · foreign-support:YES,,,afgj-projects,1
p_camino_com_n,Camino Común,project,state,,,,"https://afgj.org/a-visit-inside-colombias-most-notorious-prison-la-tramacua
https://afgj.org/death-squad-threatens-wayuu-womens-force-in-la-guajira-colombia",· foreign-support:YES,,,afgj-projects,1
p_central_ohio_freedom_fund,Central Ohio Freedom Fund,project,veneer,,,,https://www.facebook.com/COFF614/,Bail · Left-wing (criminal justice),,,afgj-projects,1
p_centro_de_derechos_humanos_del_pac_fic,Centro de Derechos Humanos del Pacífico (Centro Pazífico),project,state,,,,https://afgj.org/centro-pazfiico-2024-report,Activism · Marxist · foreign-support:YES,,,afgj-projects,1
p_centro_solidario_de_puerto_rico,Centro Solidario de Puerto Rico,project,veneer,,,,,Collective,,,afgj-projects,1
p_change_links_newspaper,Change-Links Newspaper,project,party,,,,,Media · Anti-fascist leaning · antifa:YES,,,afgj-interlock|afgj-projects,2
p_chicago_housing_initiative,Chicago Housing Initiative,project,veneer,,,,,Housing · Left-wing (economic justice),,,afgj-interlock|afgj-projects,2
p_chicago_housing_justice_league,Chicago Housing Justice League,project,veneer,,,,,Housing · Left-wing (economic justice),,,afgj-interlock|afgj-projects,2
p_chico_mendes_reforestation_project,Chico Mendes Reforestation Project,project,state,,,,,Environmental · Left-wing (environmental) · foreign-support:YES,,,afgj-projects,1
p_cindy_sheehan_s_soapbox,Cindy Sheehan’s Soapbox,project,veneer,,,,,Media/Activism · Far-left (anti-imperialist),,,afgj-interlock|afgj-projects,2
p_clean_up_the_mines,Clean up the Mines,project,veneer,,,,,Environmental · Environmental/Indigenous rights,,,afgj-projects,1
p_coalition_of_women_for_peace,Coalition of Women for Peace,project,state,,,,,Peace/Activism · Left-wing (anti-occupation) · foreign-support:YES,,,afgj-interlock|afgj-projects,2
p_colorado_freedom_fund,Colorado Freedom Fund,project,veneer,,,,,Bail · Left-wing (criminal justice),,,afgj-interlock|afgj-projects,2
p_community_action_relief_project,Community Action Relief Project,project,veneer,,,,,Mutual Aid · Left-wing (mutual aid),,,afgj-projects,1
p_corporate_genome_project,Corporate Genome Project,project,veneer,,,,https://www.corporategenomeproject.org/,Research · Left-wing (anti-corporate),,,afgj-interlock|afgj-projects,2
p_creating_a_more_beloved_community_film,Creating a More Beloved Community Film & Discussion Series,project,veneer,,,,,Education/Media · Left-wing (racial justice),,,afgj-projects,1
p_denver_justice_project,Denver Justice Project,project,veneer,,,,,Criminal Justice · Left-wing (criminal justice),,,afgj-projects,1
p_erie_bail_fund,Erie Bail Fund,project,veneer,,,,,Bail · Left-wing (criminal justice),,,afgj-projects,1
p_eritye_papa_desalin,Eritye Papa Desalin,project,state,,,,,Activism · Left-wing (anti-imperialist) · foreign-support:YES,,,afgj-projects,1
p_free_mumia_abu_jamal_coalition,Free Mumia Abu-Jamal Coalition,project,party,,,,,"Legal/Activism · Far-left (anti-police, revolutionary) · antifa:MAYBE · foreign-support:YES",,,afgj-projects,1
p_friends_of_asociaci_n_de_trabajadores_,Friends of Asociación de Trabajadores Campesinos,project,state,,,,,Labor/Solidarity · Left-wing (labor/solidarity) · foreign-support:YES,,,afgj-interlock|afgj-projects,2
p_friends_of_gente_de_i_itoi_a_c,"Friends of Gente de I’itoi, A.C.",project,state,,,,,Indigenous · Indigenous rights · foreign-support:YES,,,afgj-projects,1
p_friends_of_mujeres_de_la_tierra,Friends of Mujeres de la Tierra,project,state,,,,,Women/Environmental · Left-wing (feminist/environmental) · foreign-support:YES,,,afgj-projects,1
p_gno_interfaith_sanctuary_coalition,GNO Interfaith Sanctuary Coalition,project,veneer,,,,,Immigration · Left-wing (immigrant rights),,,afgj-projects,1
p_good_shepherd_collective,Good Shepherd Collective,project,veneer,,,,,Immigration/Humanitarian · Left-wing (immigrant rights),,,afgj-projects,1
p_hampshire_college_legal_support_fund,Hampshire College Legal Support Fund,project,party,,,,,Legal · Left-wing · antifa:MAYBE,,,afgj-projects,1
p_hands_up_united,Hands Up United,project,veneer,,,,,Activism · Left-wing (racial justice),,,afgj-interlock|afgj-projects,2
p_honduras_solidarity_network,Honduras Solidarity Network,project,state,,,,,International Solidarity · Left-wing (anti-imperialist) · foreign-support:YES,,,afgj-projects,1
p_human_rights_school,Human Rights School,project,veneer,,,,,Education · Left-wing,,,afgj-projects,1
p_initiative_for_equality,Initiative for Equality,project,veneer,,,,,Research/Advocacy · Left-wing (economic justice),,,afgj-projects,1
p_instituto_agroecol_gico_latinoamerican,Instituto Agroecológico Latinoamericano–Mesoamericana (IALA Mesoamerica),project,state,,,,,Agriculture/Education · Left-wing (agrarian) · foreign-support:YES,,,afgj-interlock|afgj-projects,2
p_international_indigenous_initiative_fo,InterNational Indigenous Initiative for Transformative Collaboration,project,veneer,,,,,Indigenous · Indigenous rights,,,afgj-projects,1
p_international_journal_of_foreign_langu,International Journal of Foreign Language Teaching,project,veneer,,,,,Academic · Non-partisan (academic),,,afgj-projects,1
p_international_people_s_tribunal,International People’s Tribunal,project,state,,,,https://sanctionstribunal.org,Legal/Advocacy · Far-left (anti-imperialist) · foreign-support:YES,,,afgj-projects,1
p_interoccupy,InterOccupy,project,party,,,,,Activism · Far-left (anti-capitalist) · antifa:MAYBE,,,afgj-interlock|afgj-projects,2
p_irish_diaspora_decolonization_alliance,Irish Diaspora Decolonization Alliance,project,state,,,,,Activism · Far-left (anti-colonial) · foreign-support:YES,,,afgj-projects,1
p_just_info,Just Info,project,party,,,,,Legal · Left-wing (civil liberties) · antifa:MAYBE,,,afgj-interlock|afgj-projects,2
p_justice_for_all_coalition,Justice for All Coalition,project,veneer,,,,,Activism · Left-wing (criminal justice),,,afgj-interlock|afgj-projects,2
p_juthour_arboretum,Juthour Arboretum,project,state,,,,,Environmental/Cultural · Pro-Palestinian · foreign-support:YES,,,afgj-projects,1
p_kevin_zeese_emerging_activists_fund,Kevin Zeese Emerging Activists Fund,project,veneer,,,,,Funding · Far-left (anti-imperialist),,,afgj-interlock|afgj-projects,2
p_kindred_connections,Kindred Connections,project,veneer,,,,,LGBTQ · Left-wing (identity politics),,,afgj-interlock|afgj-projects,2
p_la_colectiva,La ColectiVA,project,veneer,,,,,Immigration · Left-wing (immigrant rights),,,afgj-projects,1
p_labor_against_racism_and_war,Labor Against Racism and War,project,party,,,,,Labor/Activism · Far-left (anti-imperialist labor) · antifa:MAYBE · foreign-support:YES,,,afgj-projects,1
p_lancaster_bail_fund,Lancaster Bail Fund,project,veneer,,,,,Bail · Left-wing (criminal justice),,,afgj-projects,1
p_legal_defense_for_palestine,Legal Defense for Palestine,project,state,,,,,Legal · Pro-Palestinian · foreign-support:YES,,,afgj-projects,1
p_lgbt_freedom_and_asylum_network,LGBT Freedom and Asylum Network,project,veneer,,,,,Immigration/LGBTQ · Left-wing (immigrant/LGBTQ rights),,,afgj-projects,1
p_lgbt_voice_tanzania,LGBT Voice Tanzania,project,state,,,,,LGBTQ · Left-wing (LGBTQ rights) · foreign-support:YES,,,afgj-projects,1
p_lo_eterno_media_collective,Lo Eterno Media Collective,project,veneer,,,,,Media/Arts · Left-wing (anti-imperialist),,,afgj-projects,1
p_los_angeles_community_action_network,Los Angeles Community Action Network,project,state,,,,https://keywiki.org/Lee_Siu_Hin,Protest Organization · foreign-support:YES,,,afgj-interlock|afgj-projects,2
p_lupinewood,Lupinewood,project,veneer,,,,,Environmental/Community · Left-wing (environmental),,,afgj-projects,1
p_march_4_racial_justice,March 4 Racial Justice,project,party,,,,,Activism · Left-wing (racial justice) · antifa:MAYBE,,,afgj-interlock|afgj-projects,2
p_march_4_racial_justice_ny,March 4 Racial Justice NY,project,party,,,,,Activism · Left-wing (racial justice) · antifa:MAYBE,,,afgj-projects,1
p_miracle_for_mikeals_legacy_foundation,Miracle For Mikeals Legacy Foundation,project,veneer,,,,https://www.facebook.com/MikealsMiracleDIPGCure,Health/Charity · Non-partisan,,,afgj-projects,1
p_mosaic_black_trans_funding_network,Mosaic Black Trans Funding Network,project,veneer,,,,,LGBTQ/Funding · Left-wing (identity politics),,,afgj-projects,1
p_movement_net_lab,Movement Net Lab,project,veneer,,,,,Research/Technology · Left-wing,,,afgj-interlock|afgj-projects,2
p_nappy_roots_books,Nappy Roots Books,project,veneer,,,,,Education/Publishing · Left-wing (cultural),,,afgj-interlock|afgj-projects,2
p_national_association_of_human_rights_d,National Association of Human Rights Defenders,project,veneer,,,,,Human Rights · Left-wing (human rights),,,afgj-projects,1
