source,target,relation,layer,confidence,directed,label,source_url,slices,evidence,receipt
benjamin,iran_foreign_ministry,met,state,inferred,yes,Nov 2008 CODEPINK delegation met Iranian FM (2008 blog receipt does not name the FM; Benjamin's confirmed FM meeting is the 2019 Zarif one — see edge 7),http://codepinkdc.blogspot.com/2008/11/medeas-blog-day-1-iran-citizen.html,iran-network,,
benjamin,ncri_report,cited_by_ncri,concept,inferred,yes,profiled as central figure,https://networkcontagion.us/reports/following-the-benjamins-how-a-48-million-foundation-operated-an-iran-aligned-influence-network-outside-state-oversight-in-florida/|https://www.democracynow.org/2019/2/27/codepinks_medea_benjamin_on_peace_delegation,iran-network,,
benjamin,new_horizon,attended_delegation,state,confirmed,yes,"Attended 2014 New Horizon Tehran conference, award",https://www.memri.org/reports/second-international-new-horizon-conference-tehran,iran-network,,
benjamin,zarif,met,state,confirmed,yes,"90-min private meeting w/ FM Zarif, Tehran, Feb 2019",https://www.codepink.org/day_3,iran-network,,
bertoldi,albamov,member,state,confirmed,yes,ALBA Movimientos,https://breakthroughnews.org/2020/08/28/why-us-political-scientists-are-arguing-that-evo-morales-should-be-the-president-of-bolivia/,latam-solidarity,,
bertoldi,ipa,coordinator,state,confirmed,yes,IPA coordinator,https://breakthroughnews.org/2020/08/28/why-us-political-scientists-are-arguing-that-evo-morales-should-be-the-president-of-bolivia/,latam-solidarity,,
bounds,cuba,foreign_tie,state,inferred,yes,led BLM delegation to Cuba,https://peoplesforum.org/about/staff/,singham-spine,"Conduit between BLM and Cuba: as People's Forum staffer, led/organized a 10-day BLM Grassroots delegation to Cuba (jointly with the International People's Assembly) to meet Cuban government officials",https://www.heritage.org/global-politics/report/how-the-revolutionary-ecosystem-sustains-pro-palestinian-protesters-and-the
bournous,syriza,member,party,confirmed,no,SYRIZA Intl Relations head,https://en.wikipedia.org/wiki/Syriza,rls-germany,,
brease,btm,member,money,inferred,yes,role,https://projects.propublica.org/nonprofits/organizations/845071181,singham-spine,,
brian_becker,answer,national_coordinator,party,confirmed,no,ANSWER coordinator,https://www.adl.org/resources/backgrounder/party-socialism-and-liberation-psl,hatuey,,
brian_becker,ben_becker,parent,party,confirmed,no,father,https://liberationnews.org/author/brian_becker/ | https://www.btcpolicy.org/articles/foreign-influence-campaign-against-american-ai-part-ii-singham-ground-game,hatuey,"His father, Brian Becker, directs the Singham-funded ANSWER Coalition and co-founded the PSL.",
brian_becker,china,foreign_tie,state,inferred,yes,China tie,https://www.influencewatch.org/person/brian-becker/,singham-spine,,
brian_becker,pf,instructor,money,confirmed,no,instructor,https://peoplesforum.org/instructors/brian-becker/,hatuey,,
brian_becker,psl,co_founder,party,confirmed,no,PSL co-founder,https://www.adl.org/resources/backgrounder/party-socialism-and-liberation-psl,hatuey,,
brian_becker,puf,signatory,party,confirmed,yes,signed PUF mission statement,https://www.influencewatch.org/person/brian-becker/|https://projects.propublica.org/nonprofits/organizations/943382208,singham-spine,"signed PUF's mission statement (alongside Medea Benjamin, People's Forum)",https://www.jpost.com/diaspora/antisemitism/article-801204
brian_becker,richard_becker,relative,party,inferred,no,brother (per ADL; source conflict),https://www.adl.org/resources/backgrounder/party-socialism-and-liberation-psl,hatuey,,
bugni,ucf,member,money,confirmed,yes,role,https://projects.propublica.org/nonprofits/organizations/371913339,singham-spine,,
burke,ev_fsp_caracas_2019,led,party,confirmed,yes,led FRSO delegation,https://fightbacknews.org/2019/7/23/frso-sends-delegation-sao-paolo-forum,latam-solidarity,,
burke,frso,secretary,party,confirmed,yes,Organization Secretary,https://fightbacknews.org/2019/7/23/frso-sends-delegation-sao-paolo-forum,latam-solidarity,,
camacaro,afgj,media_contact,veneer,confirmed,yes,AFGJ media contact,https://afgj.org/communique-august-2-2024-alliance-for-global-justice-delegation-demands-respect-for-venezuelas-democracy-in-light-of-july-28-elections,latam-solidarity,,
camacaro,ev_vz_election_2024,accompanied,veneer,confirmed,yes,AFGJ delegate,https://afgj.org/communique-august-2-2024-alliance-for-global-justice-delegation-demands-respect-for-venezuelas-democracy-in-light-of-july-28-elections,latam-solidarity,,
caruso,pf,member,money,confirmed,yes,role,https://www.democracyatwork.info/acc_social_media_and_internet_pt2|https://projects.propublica.org/nonprofits/organizations/611844780,singham-spine,,
cea_weaver,dsa,organizer,veneer,confirmed,no,NYC-DSA housing lead -> Mamdani admin appointee (2025),https://rosalux.nyc/100-days-of-mayor-mamdani-promising-progress/,rls-germany,,
cea_weaver,rls_nyc,collaborator,money,confirmed,no,"'years of collaboration' (per Liebich, 2026)",https://rosalux.nyc/100-days-of-mayor-mamdani-promising-progress/,rls-germany,,
chak,china,foreign_tie,state,inferred,yes,China tie,https://tsinghua.academia.edu/TingsChak,singham-spine,,
chak,jef,member,money,inferred,yes,role,https://tsinghua.academia.edu/TingsChak,singham-spine,,
chak,ucf,member,money,confirmed,yes,role,https://www.jpost.com/diaspora/antisemitism/article-801204 | https://projects.propublica.org/nonprofits/organizations/371913339,singham-spine,"Tricontinental Institute art director and researcher and IPA contributor Tings Chak, was listed as United Community Fund director in 2022, according to NCRI.",
chanoine,rls_nyc,officer,money,confirmed,no,Financial Manager (2013-present),https://www.grantmakers.io/profiles/v0/453658022-rosa-luxemburg-stiftung-inc/,rls-germany,,
chua,dsa,officer,veneer,confirmed,no,DSA Assistant to National Director (Jan 2019+); active DSA member while on RLS payroll,https://keywiki.org/Heidi_Easton_Chua_Schwa,rls-germany,,
chua,rls_nyc,officer,money,confirmed,no,Office Manager FY2013-2018,https://keywiki.org/Heidi_Easton_Chua_Schwa|https://projects.propublica.org/nonprofits/organizations/453658022,rls-germany,,
clarkgollub,ev_antifa_festival_2025,hosted,veneer,confirmed,yes,moderated VSN Venezuela webinar (2025),https://www.venezuelasolidaritynetwork.org/01282025,latam-solidarity,moderated VSN's Jan 28 2025 'Eyewitness Venezuela' online webinar discussing the Caracas festival/inauguration; not shown to have attended in person,https://www.venezuelasolidaritynetwork.org/01282025
clarkgollub,ev_vz_election_2024,accompanied,veneer,confirmed,yes,AFGJ delegate,https://afgj.org/communique-august-2-2024-alliance-for-global-justice-delegation-demands-respect-for-venezuelas-democracy-in-light-of-july-28-elections,latam-solidarity,,
codepink,ev_vz_election_2024,endorsed,veneer,confirmed,yes,statement signatory,https://peoplesforum.org/venezuela-elections,latam-solidarity,,
codepink,hispantv,attended_delegation,state,confirmed,yes,Feb 2019 delegation stop at HispanTV (OFAC-sanctioned),https://www.codepink.org/day_2,iran-network,,
codepink,ipa,member,veneer,confirmed,yes,IPA North America coordinating committee,https://en.wikipedia.org/wiki/International_Peoples%27_Assembly,latam-solidarity,,
codepink,iran_foreign_ministry,met,state,confirmed,yes,CODEPINK delegation's 90-min FM Zarif meeting,https://www.codepink.org/day_3,iran-network,,
codepink,ncri_report,cited_by_ncri,concept,inferred,yes,$1.7M+ from Arc of Justice (2016-22),https://networkcontagion.us/reports/following-the-benjamins-how-a-48-million-foundation-operated-an-iran-aligned-influence-network-outside-state-oversight-in-florida/|https://www.democracynow.org/2019/2/27/codepinks_medea_benjamin_on_peace_delegation,iran-network,"named as $1.7M+ related-party grantee (Arc of Justice sent CODEPINK at least $1,708,200, 2016-2022; disclosed on CODEPINK's IRS filings since 2017 as a 'related organization through common board membership' via Medea Benjamin, not as a fiscal sponsorship)",https://conservativehq.com/post/its-time-to-shut-down-the-code-pink-foreign-influence-network
codepink,press_tv,attended_delegation,state,confirmed,yes,Feb 2019 CODEPINK delegation stop at Press TV,https://www.codepink.org/day_2,iran-network,,
codepink,rub_national_network_on_cuba,member,money,confirmed,yes,NNOC coalition member,https://nnoc.org/member-orgs/,rubio-cuba,,
codepink,samidoun,hosted,terror,confirmed,yes,"Jan 2023 joint campaign; hosted materials, endorser",https://www.codepink.org/freedomforahmad,iran-network,,
cook,psl,member,party,inferred,yes,affiliation,https://www.adl.org/resources/backgrounder/party-socialism-and-liberation-psl,singham-spine,,
cook,puf,member,party,confirmed,yes,role,https://www.adl.org/resources/backgrounder/party-socialism-and-liberation-psl|https://projects.propublica.org/nonprofits/organizations/943382208,singham-spine,,
craig,cuba,foreign_tie,state,inferred,yes,Cuba tie,https://peoplesforum.org/about/staff/,singham-spine,,
craig,pf,member,money,confirmed,yes,role,https://peoplesforum.org/about/staff/|https://projects.propublica.org/nonprofits/organizations/611844780,singham-spine,,
croce,china,foreign_tie,state,inferred,yes,China tie,https://medium.com/@tri_continental/for-immediate-release-contact-celina-della-croce-coordinator-celina-thetricontinental-org-5819cc980775,singham-spine,,
dagdelen,die_linke,former_member,party,confirmed,no,Die Linke deputy chair; left 2023 (BSW),https://en.wikipedia.org/wiki/Die_Linke,rls-germany,"deputy chair of Die Linke's Bundestag parliamentary group, 2017–2019; left Die Linke Oct 2023 to co-found BSW",https://en.wikipedia.org/wiki/Sevim_Da%C4%9Fdelen
danaher,arc_of_justice,officer,money,confirmed,yes,"Treasurer, Arc of Justice, all filing yrs (990-PF)",https://projects.propublica.org/nonprofits/organizations/841618483,iran-network,,
deborah_benjamin,arc_of_justice,related_party,money,confirmed,yes,Co-defendant w/ Fund in Unger v. Coyle (2014-16),https://law.justia.com/cases/new-york/appellate-division-second-department/2016/2014-08796.html,iran-network,,
delacruz,codepink,role,money,confirmed,yes,Co-founder/Co-ED (People's Forum); ED (IFCO/Pastor,https://en.wikipedia.org/wiki/Claudia_de_la_Cruz,rubio-cuba,,
delacruz,ev_ipa_founding_2019,attended,money,confirmed,yes,attended IPA Caracas 2019,https://www.foxnews.com/politics/second-front-how-socialist-cell-us-mobilized-pro-maduro-foot-soldiers-within-12-hours.amp,latam-solidarity,,
delacruz,iran,foreign_tie,state,inferred,yes,Iran tie,https://en.wikipedia.org/wiki/Claudia_De_la_Cruz,singham-spine,,
delacruz,pf,co_director,money,confirmed,yes,co-executive director,https://www.influencewatch.org/non-profit/the-peoples-forum/,latam-solidarity,,
delacruz,pf,co_founder,money,confirmed,no,co-founder / co-ED,https://projects.propublica.org/nonprofits/organizations/611844780,hatuey,,
delacruz,pf,member,money,confirmed,yes,role,https://en.wikipedia.org/wiki/Claudia_De_la_Cruz|https://projects.propublica.org/nonprofits/organizations/611844780,singham-spine,,
delacruz,pf,role,money,confirmed,yes,Co-founder/Co-ED (People's Forum); ED (IFCO/Pastor,https://en.wikipedia.org/wiki/Claudia_de_la_Cruz,rubio-cuba,,
delacruz,psl,pres_nominee,party,confirmed,no,2024 pres nominee,https://en.wikipedia.org/wiki/Party_for_Socialism_and_Liberation|https://ballotpedia.org/Karina_Garcia,hatuey,,
delacruz,rub_ifco_pastors_for_peace,role,money,confirmed,yes,Co-founder/Co-ED (People's Forum); ED (IFCO/Pastor,https://en.wikipedia.org/wiki/Claudia_de_la_Cruz|https://www.state.gov/cuba-the-capital-of-21st-century-communism,rubio-cuba,,
delacruz,venezuela,foreign_tie,state,inferred,yes,Venezuela tie,https://www.peaceandfreedom.us/index.php/news/elections-campaigns/claudia-de-la-cruz-karina-garcia-the-bios,singham-spine,grassroots leaders from Venezuela organizing the Bolivarian Circles,
delossantos,ev_vz_election_2024,monitored,money,inferred,yes,described as 'election monitor' (unverified-verbatim),https://therealnews.com/international-election-observers-and-journalists-contest-claims-of-venezuela-election-fraud,latam-solidarity,,
delossantos,iran,foreign_tie,state,inferred,yes,praised Iran 'resistance'; Times Sq protests,https://www.yahoo.com/news/manolo-los-santos-leader-hamas-205656272.html,singham-spine,"As People's Forum exec. director, personally praised Iran as part of the 'resistance' axis (Oct 2024 rally) and led org's Feb 2026 Times Square protests backing Iran during US/Israel strikes; House GOP letter alleges People's Forum has 'well-documented connections to Hamas and Iran'",https://www.jns.org/legislators-confront-peoples-forum-for-well-documented-connections-to-hamas-and-iran/
delossantos,jef,member,money,confirmed,yes,role,https://www.yahoo.com/news/manolo-los-santos-leader-hamas-205656272.html,singham-spine,,
delossantos,pf,co_director,money,confirmed,yes,co-executive director,https://www.influencewatch.org/non-profit/the-peoples-forum/,latam-solidarity,,
delossantos,pf,co_founder,money,confirmed,no,founding director,https://peoplesforum.org/about/staff/|https://www.counterpunch.org/author/manolo-de-los-santos/,hatuey,,
delossantos,pf,member,money,confirmed,yes,role,https://www.yahoo.com/news/manolo-los-santos-leader-hamas-205656272.html|https://projects.propublica.org/nonprofits/organizations/611844780,singham-spine,,
delossantos,pf,role,money,confirmed,yes,Co-founder/director,https://peoplesforum.org/about/staff/,rubio-cuba,,
die_linke,pel,member,party,confirmed,no,founding member,https://en.wikipedia.org/wiki/Party_of_the_European_Left,rls-germany,,
die_linke,rls_berlin,affiliated,party,confirmed,no,RLS is Die Linke's party foundation,https://en.wikipedia.org/wiki/Rosa_Luxemburg_Foundation,rls-germany,,
dpaul,ev_antifa_festival_2025,attended,veneer,confirmed,yes,Sanctions Kill / Task Force on the Americas / DSA delegate at the anti-fascist conference,https://www.venezuelasolidaritynetwork.org/01282025,latam-solidarity,,
dsa,ev_vz_election_2024,endorsed,veneer,confirmed,yes,statement signatory,https://peoplesforum.org/venezuela-elections,latam-solidarity,,
dsa,ev_vz_election_2024,observed,veneer,confirmed,yes,credentialed observers (DSA Intl Committee),https://international.dsausa.org/venezuela-solidarity/|https://www.persuasion.community/p/the-democratic-socialists-of-america,latam-solidarity,,
dsa,fsp,participated,veneer,confirmed,yes,observer delegation (22nd Encuentro 2016); DSA is São Paulo Forum associate since 2023,https://danlabotz.medium.com/report-on-dsa-participation-in-the-foro-de-sao-paulo-san-salvador-el-salvador-june-22-june-25-a4aee2b13499|http://web.archive.org/web/20211025155255/https://danlabotz.medium.com/report-on-dsa-participation-in-the-foro-de-sao-paulo-san-salvador-el-salvador-june-22-june-25-a4aee2b13499|https://en.wikipedia.org/wiki/Democratic_Socialists_of_America,latam-solidarity,,
dsa,pi,member,veneer,confirmed,no,DSA formal member (Oct 2023),https://progressive.international/members/,rls-germany,,
dsa,rub_national_network_on_cuba,member,money,confirmed,yes,NNOC coalition member,https://nnoc.org/member-orgs/,rubio-cuba,,
dsa_fund,jacobin,joint_poll,veneer,confirmed,no,co-commissioned Nov 2025 poll (Data for Progress fieldwork),https://rosalux.nyc/new-poll-democratic-socialism-is-now-mainstream/,rls-germany,,
duhalde,dsa,former_officer,veneer,confirmed,no,former DSA Deputy Director,https://rosalux.nyc/the-long-reroute/,rls-germany,,
duhalde,dsa_fund,former_chair,veneer,confirmed,no,DSA Fund chair (2020-2025),https://rosalux.nyc/the-long-reroute/,rls-germany,DSA Fund board chair for ~5 years (2020-2025); stepped down April 2025,https://democraticleft.dsausa.org/2025/05/16/funding-the-movement-a-dsa-fund-retrospective/
duhalde,rls_nyc,commissioned_author,money,confirmed,yes,'The Long Reroute' (2025) — DSA national-convention prep material,https://rosalux.nyc/the-long-reroute/,rls-germany,,
dwilliams,rls_nyc,officer,money,confirmed,no,"Director, Intl Climate Justice Program",https://rosalux.nyc/about/,rls-germany,,
earle,dsa,cochair,veneer,confirmed,no,"DSA International Committee co-chair (Oct 2018+, concurrent with RLS payroll)",https://ethanearle.info/curriculum-vitae/,rls-germany,,
earle,o4p,coordinates,money,confirmed,yes,O4P coordinator; personal Gmail is the program contact,https://rosalux.nyc/organizing-for-powers-core-fundamentals/,rls-germany,,
earle,pel,member,party,confirmed,no,Party of the European Left North America Working Group,https://ethanearle.info/curriculum-vitae/,rls-germany,,
earle,rls_nyc,officer,money,confirmed,no,Project Manager 2012-2019,https://ethanearle.info/curriculum-vitae/,rls-germany,,
ehmsen,rls_nyc,director,money,confirmed,no,Co-Executive Director (2013-2018),https://rosalux.nyc/about/,rls-germany,,
enkelmann,rls_berlin,chair,state,confirmed,no,"Chair, RLS e.V. Berlin",https://en.wikipedia.org/wiki/Rosa_Luxemburg_Foundation,rls-germany,,
ensler,codepink,member,money,confirmed,yes,CODEPINK Advisory Board,https://en.wikipedia.org/wiki/Eve_Ensler|https://projects.propublica.org/nonprofits/organizations/262823386,singham-spine,"CODEPINK Advisory Board (listed as ""V, formerly Eve Ensler"")",https://www.codepink.org/codepink_advisory_board
estrada,albamov,member,state,confirmed,yes,ALBA Movimientos (Brazil),https://breakthroughnews.org/2020/03/19/imf-refuses-aid-to-venezuela-in-the-midst-of-the-coronavirus-crisis/,latam-solidarity,,
estrada,ipa,secretariat,state,confirmed,yes,IPA Secretariat,https://www.salon.com/writer/paola-estrada,latam-solidarity,Paola Estrada is in the Secretariat of the International Peoples Assembly and is a member of the Brazilian chapter of ALBA Movements (Continental Coordination of Social Movements toward the Bolivarian Alliance for the Peoples of Our America).,
evans,china,foreign_tie,state,inferred,yes,China tie,https://www.facebook.com/jodie.evans.169/,singham-spine,,
evans,codepink,co_founder,money,confirmed,yes,Co-founded CODEPINK 2002; President 2019-22 (990),https://projects.propublica.org/nonprofits/organizations/262823386,iran-network,,
evans,codepink,member,money,confirmed,yes,role,https://www.facebook.com/jodie.evans.169/|https://projects.propublica.org/nonprofits/organizations/262823386,singham-spine,,
evans,codepink,role,money,confirmed,yes,Co-founder; Singham spouse,https://en.wikipedia.org/wiki/Jodie_Evans,rubio-cuba,,
evans,ips,member,money,confirmed,yes,role,https://www.facebook.com/jodie.evans.169/|https://projects.propublica.org/nonprofits/organizations/520788947,singham-spine,,
evans,iran,foreign_tie,state,inferred,yes,Arc of Justice registered agent; no direct personal Iran-contact receipt found (financial/legal infrastructure tie only),https://www.facebook.com/jodie.evans.169/,iran-network|singham-spine,,
evans,ncri_report,cited_by_ncri,concept,inferred,yes,named as Arc of Justice registered agent (CA SOS bizfile C2468589),https://networkcontagion.us/reports/following-the-benjamins-how-a-48-million-foundation-operated-an-iran-aligned-influence-network-outside-state-oversight-in-florida/ | https://www.city-data.com/business-entities/CA/ARC-OF-JUSTICE-C2468589-CA.html,iran-network,"JODIE EVANS, 2010 LINDEN AVE., VENICE CA 90291",
evans,pf,member,money,confirmed,yes,role,https://www.facebook.com/jodie.evans.169/|https://projects.propublica.org/nonprofits/organizations/611844780,singham-spine,,
evans,pf,role,money,confirmed,yes,Co-founder; Singham spouse,https://en.wikipedia.org/wiki/Jodie_Evans,rubio-cuba,,
evans,psf,officer,money,confirmed,yes,"President, People's Support Foundation (990)",https://projects.propublica.org/nonprofits/organizations/821202926,iran-network,,
evans,singham,related_party,money,confirmed,yes,Married Singham 2017 (Banks/Cotton Senate letters),https://www.banks.senate.gov/news/press-releases/senator-jim-banks-to-attorney-general-bondi-i-urge-you-to-investigate-code-pink-for-potential-violations-of-fara/,iran-network,,
fernandes,tricontinental,member,money,confirmed,yes,role,https://valdaiclub.com/about/experts/28895/|https://projects.propublica.org/nonprofits/organizations/822882135,singham-spine,,
friendsatc,afgj,project_of,money,confirmed,yes,project of (AFGJ/Nicaragua Network),https://afgj.org/friends-of-the-atc-delegation-announcement,latam-solidarity,,
friendsatc,atc,partners,state,confirmed,yes,sister-solidarity relationship,https://afgj.org/friends-of-the-atc-delegation-announcement|https://afgj.org/partner-delegation-atc,latam-solidarity,,
frso,ev_fsp_caracas_2019,attended,party,confirmed,yes,delegation led by Tom Burke,https://fightbacknews.org/2019/7/23/frso-sends-delegation-sao-paolo-forum,latam-solidarity,,
fsln,rubio_report,cited_designation,context,inferred,yes,report §I-III: cited for designation/nexus (NOT a funded member),https://www.state.gov/cuba-the-capital-of-21st-century-communism,rubio-cuba,,
fsp,ev_fsp_caracas_2019,convened,state,confirmed,yes,25th Encuentro,https://forodesaopaulo.org/memoria-del-xxv-encuentro-del-foro-de-sao-paulo-25-al-28-de-julio-de-2019-caracas-venezuela/|https://fightbacknews.org/articles/venezuela-s-president-maduro-speaks-25th-sao-paulo-forum,latam-solidarity,,
garcia,china,foreign_tie,state,inferred,yes,"director/treasurer, Singham JEF",https://www.btcpolicy.org/articles/foreign-influence-campaign-against-american-ai-part-ii-singham-ground-game,singham-spine,"Indirect China tie via Singham network — director/treasurer, Justice & Education Fund (Singham-linked grant-making vehicle; JEF received ~$278M from Singham-controlled entities 2017-2023)",https://www.btcpolicy.org/articles/foreign-influence-campaign-against-american-ai-part-ii-singham-ground-game
garcia,psl,vp_candidate,party,confirmed,no,2024 VP nominee,https://ballotpedia.org/Karina_Garcia,hatuey,,
german_gov,fes,funds,state,confirmed,yes,party-foundation appropriation,https://en.wikipedia.org/wiki/Political_foundation_in_Germany,rls-germany,,
german_gov,fns,funds,state,confirmed,yes,party-foundation appropriation,https://en.wikipedia.org/wiki/Political_foundation_in_Germany,rls-germany,,
german_gov,hbs,funds,state,confirmed,yes,party-foundation appropriation,https://en.wikipedia.org/wiki/Political_foundation_in_Germany,rls-germany,,
german_gov,hss,funds,state,confirmed,yes,party-foundation appropriation,https://en.wikipedia.org/wiki/Political_foundation_in_Germany,rls-germany,,
german_gov,kas,funds,state,confirmed,yes,party-foundation appropriation,https://en.wikipedia.org/wiki/Political_foundation_in_Germany,rls-germany,,
german_gov,rls_berlin,funds,state,confirmed,yes,EUR 71.2M (2024); formula on Die Linke vote share,https://en.wikipedia.org/wiki/Political_foundation_in_Germany|https://www.osw.waw.pl/en/publikacje/analyses/2023-11-15/germany-law-financing-party-foundations,rls-germany,,
ghost_officers,arc_of_justice,officer,money,confirmed,yes,"5 unidentified signers on returns, FY2006-2012",https://projects.propublica.org/nonprofits/organizations/841618483,iran-network,,
global_exchange,arc_of_justice,related_org,concept,confirmed,no,co-founder Medea Benjamin links Global Exchange to the Benjamin family foundation,https://projects.propublica.org/nonprofits/organizations/943066686,iran-network,,
goodwin,china,foreign_tie,state,inferred,yes,China tie,https://news.mit.edu/2014/nine-mit-students-and-alumni-win-fulbright-grants,singham-spine,,
grenyion,china,foreign_tie,state,inferred,yes,China tie,https://web.archive.org/web/20230808055155/https://www.oneloveunionjodieandroy.com/,singham-spine,,
gunther,die_linke,member,party,confirmed,no,"former Director of International Policy, Die Linke",https://en.wikipedia.org/wiki/Die_Linke,rls-germany,,
gunther,rls_nyc,director,money,confirmed,no,Executive Director (2019-2023),https://rosalux.nyc/about/,rls-germany,,
hamby,pf,officer,state,inferred,yes,"General Manager, People's Forum",https://peoplesforum.org/about/staff/,singham-spine,"General Manager, The People's Forum (FY2024 Form 990)",https://projects.propublica.org/nonprofits/organizations/611844780/
harris,ev_antifa_festival_2025,attended,veneer,confirmed,yes,US Peace Council; attended (Jan 2025),https://www.venezuelasolidaritynetwork.org/01282025,latam-solidarity,US Peace Council member; self-reported in Orinoco Tribune he 'came to accompany the inauguration and for the concurrent antifascist festival' (Jan 2025),https://orinocotribune.com/venezuelan-president-maduro-assumes-a-third-term-prospects-and-problematics/
harris,ev_vz_election_2024,observed,veneer,confirmed,yes,eyewitness observer,https://icssmarx.org/venezuela-election-eye-witness-report-roger-d-harris-august-25-2024-1030-am-pacific-time/|https://www.counterpunch.org/2024/08/30/the-venezuela-elections-of-28-july-2024-what-and-whom-to-believe/,latam-solidarity,,
harris,tfa,board_member,veneer,confirmed,yes,board,https://taskforceamericas.org/staff/roger-harris/,latam-solidarity,,
harris,uspc,member,veneer,confirmed,yes,executive committee,https://icssmarx.org/venezuela-election-eye-witness-report-roger-d-harris-august-25-2024-1030-am-pacific-time/,latam-solidarity,,
harris,vsn,founding_member,veneer,confirmed,yes,founding member,https://icssmarx.org/venezuela-election-eye-witness-report-roger-d-harris-august-25-2024-1030-am-pacific-time/,latam-solidarity,,
hatuey,icap,press_channel,state,confirmed,yes,press confs at ICAP HQ; repeat Gonzalez Llort contact,https://www.hatueyproject.org/news/hatuey-project-press-conference-in-cuba/,hatuey,,
hatuey,minsap,donations_to,state,confirmed,yes,donations to Cuban hospitals (MINSAP-run),https://www.hatueyproject.org/|https://www.radiohc.cu/en/the-hatuey-project-of-the-united-states-reaffirms-its-solidarity-with-cuba/,hatuey,,
hatuey,rhc,covered_by,state,confirmed,yes,covered / amplified,https://www.radiohc.cu/en/the-hatuey-project-of-the-united-states-reaffirms-its-solidarity-with-cuba/,hatuey,,
henderson,china,foreign_tie,state,inferred,yes,China tie,https://newlinesmag.com/reportage/the-big-business-of-uyghur-genocide-denial/,singham-spine,,
hoyt,afgj,board_member,money,confirmed,yes,board (ex-National Co-Coordinator),https://afgj.org/about/board-of-directors,latam-solidarity,,
hrizi,china,foreign_tie,state,inferred,yes,China tie,https://www.ussearch.com/people-search/nathalie-hrizi/,singham-spine,,
hrizi,cuba,foreign_tie,state,inferred,yes,Cuba tie,https://www.ussearch.com/people-search/nathalie-hrizi/,singham-spine,,
hu,c3misc,member,money,confirmed,yes,"Host, CovertAction Bulletin/Breakthrough",https://www.linkedin.com/in/rachel-hu-5b707a22a/|https://projects.propublica.org/nonprofits/organizations/872461683,singham-spine,"Editorial Board member (Host, CovertAction Bulletin/Breakthrough News) and listed Staff & Volunteer, CovertAction Institute",https://covertactioninstitute.org/about/
hu,china,foreign_tie,state,inferred,yes,China tie,https://www.linkedin.com/in/rachel-hu-5b707a22a/,singham-spine,,
hu,russia,foreign_tie,state,inferred,yes,Russia tie,https://www.linkedin.com/in/rachel-hu-5b707a22a/,singham-spine,,
hub_assata_shakur,p_assata_s_daughters,cited_context,context,inferred,yes,namesake (not a member),https://en.wikipedia.org/wiki/Assata_Shakur,rubio-cuba,"namesake — org named in her honor/tradition, founded 2015 by Page May; Shakur was never a member, officer, or founder",https://www.influencewatch.org/non-profit/assatas-daughters/
hub_assata_shakur,rub_black_liberation_army,role,context,inferred,yes,BLA member; Cuba fugitive,https://en.wikipedia.org/wiki/Assata_Shakur,rubio-cuba,,
icap,seal,award,state,confirmed,yes,,https://cubasi.cu/en/news/prominent-us-activist-receives-icap-commemorative-seal | https://www.cubainformacion.tv/solidaridad/20210604/91643/91643-destacada-activista-de-eeuu-gloria-la-riva-recibe-sello-conmemorativo-del-icap,hatuey,"Gloria La Riva recibió hoy el sello conmemorativo 60 Aniversario del ICAP por su incansable defensa de los derechos humanos, lealtad y solidaridad con Cuba.",
ipa,ev_antifa_festival_2025,organized,party,inferred,yes,"organizer attribution via IPA-affiliated peoplesdispatch (bot-blocked); festival+Maduro patronage cache-confirmed, IPA-as-organizer not independently cached",https://peoplesdispatch.org/2025/01/09/venezuelan-vice-president-denounces-neo-fascist-right-wing-and-guarantees-maduros-inauguration-here-we-are-and-here-we-will-remain/,latam-solidarity,,
ipa,ev_ipa_founding_2019,founded_at,party,confirmed,yes,founding assembly Caracas Feb 2019,https://breakthroughnews.org/2019/07/20/the-year-in-review-a-look-at-our-coverage/,latam-solidarity,,
irgens_moller,arc_of_justice,officer,money,confirmed,yes,"Secretary/only paid officer, $10K/yr FY06-13",https://projects.propublica.org/nonprofits/organizations/841618483,iran-network,,
irgens_moller,global_exchange,co_founder,money,confirmed,yes,"Co-founded GE 1988; ED 1988-2011, then Sec.",https://projects.propublica.org/nonprofits/organizations/943066686,iran-network,,
jacobin,rubio_report,cited_context,context,inferred,yes,report §I: named in report,https://www.state.gov/cuba-the-capital-of-21st-century-communism,rubio-cuba,,
janequine,jef,member,money,confirmed,yes,role,https://projects.propublica.org/nonprofits/organizations/824975378,singham-spine,,
jef,afgj,grant,money,confirmed,yes,"$10,000 (2022) (990)",https://projects.propublica.org/nonprofits/organizations/824975378,iran-network,,
jef,codepink,grant,money,confirmed,yes,"$250,856(2021)+$109,735(2022)=$360,591 (990)",https://projects.propublica.org/nonprofits/organizations/824975378,iran-network,,
jef,pf,funds,money,confirmed,yes,>$20M 2017-2022,https://waysandmeans.house.gov/2025/09/04/chairman-smith-exposes-u-s-nonprofit-as-likely-ccp-funded-propaganda-arm-operating-under-tax-exempt-status/,singham-spine,,
jef,tricontinental,funds,money,inferred,yes,Singham-founded,https://waysandmeans.house.gov/2025/09/04/chairman-smith-exposes-u-s-nonprofit-as-likely-ccp-funded-propaganda-arm-operating-under-tax-exempt-status/,singham-spine,,
